粹 米亠人人十
淬 氵亠人人十
翠 习习亠人人十
村 木寸
皴 厶八夂皮
存 丨子
忖 忄寸
寸 寸
吋 口寸
撮 扌日耳又
搓 扌⺶工
磋 石⺶工
蹉 ⻊⺶工
鹾 ┝ 囗乂⺶工
嵯 山⺶工
矬 矢人人土
痤 疒人人土
脞 月人人土
措 扌󰁺日
挫 扌人人土
厝 厂󰁺日
错 钅󰁺日
锉 钅人人土
搭 扌艹人一口
耷 大耳
嗒 口艹人一口
哒 口辶大
褡 衤艹人一口
靼 革日一
鞑 革辶大
跶 ⻊辶大
沓 水日
笪 ⺮日一
答 ⺮人一口
瘩 疒艹人一口
怛 忄日一
达 辶大
妲 女日一
打 扌丁
大 大
呆 口木
呔 口大丶
歹 一夕
傣 亻氺
殆 一夕厶口
埭 土彐氺
玳 王亻弋
带 冖巾
戴 田󰁺八
甙 弋甘
黛 亻弋󰀹土灬
岱 亻弋山
贷 亻弋贝
袋 亻弋亠󰀔󰀔
代 亻弋
待 彳土寸
逮 辶彐氺
迨 辶厶口
绐 纟厶口
怠 厶口心
殚 一夕丷日十
聃 耳冂土
耽 耳冖儿
担 扌日一
眈 目冖儿
箪 ⺮丷日十
儋 亻⺈厂八言
丹 󰀼亠
瘅 疒丷日十
郸 丷日十阝
单 丷日十
掸 扌丷日十
胆 月日一
亶 亠囗口日一
疸 疒日一
萏 艹⺈臼
啖 口火火
旦 日一
氮 气火火
但 亻日一
诞 讠廴ノ止
惮 忄丷日十
澹 氵⺈厂八言
淡 氵火火
蛋 乛虫
弹 弓丷日十
珰 王⺌彐
噹 口⺌冖口田
当 ⺌彐
裆 衤⺌彐
挡 扌⺌彐
党 ⺌冖口儿
谠 讠⺌冖口儿
荡 艹氵ㄋ
菪 艹宀石
档 木⺌彐
砀 石ㄋ
凼 水凵
宕 宀石
叨 口刀
刂 刂
氘 气
忉 忄刀
刀 刀
捣 扌鸟山
蹈 ⻊爫臼
倒 亻至刂
岛 山
祷 礻寸
导 巳寸
焘 寸灬
纛 母小ノ糸
到 至刂
稻 禾爫臼
盗 冫欠皿
悼 忄┝ 日十
道 辶ㄥ白
德 彳十罒一心
得 彳日一寸
锝 钅日一寸
的 白勹丶
噔 口癶一口ㄥ
蹬 ⻊癶一口ㄥ
簦 ⺮癶一口ㄥ
灯 火丁
登 癶一口ㄥ
戥 日生戈
等 ⺮土寸
磴 石癶一口ㄥ
瞪 目癶一口ㄥ
嶝 山癶一口ㄥ
镫 钅癶一口ㄥ
凳 癶一口ㄥ几
邓 又阝
堤 土是
嘀 口亠丷
低 亻氏丶
镝 钅亠丷
羝 ⺶氏丶
滴 氵亠丷
荻 艹犭火
觌 十乛大见
笛 ⺮由
敌 舌攵
籴 入米
狄 犭火
涤 氵夂木
迪 辶由
嫡 女亠丷
坻 土氏丶
抵 扌氏丶
柢 木氏丶
砥 石氏丶
骶 骨氏丶
邸 氏丶阝
氐 氏丶
诋 讠氏丶
底 广氏丶
地 土也
蒂 艹亠丷冖巾
棣 木彐氺
碲 石亠丷冖巾
睇 目丷
第 ⺮
谛 讠亠丷冖巾
帝 亠丷冖巾
弟 丷
递 辶丷
缔 纟亠丷冖巾
娣 女丷
嗲 口八乂多
掂 扌广┝ 口
颠 十八页
巅 山十八页
癫 疒十八页
滇 氵十八
碘 石冂󰁺八
点 ┝ 口灬
踮 ⻊广┝ 口
典 冂󰁺八
坫 土┝ 口
玷 王┝ 口
靛 月定
垫 扌丸土
唸 口人丶乛心
电 日乚
窖 宀八󰅃口
佃 亻田
钿 钅田
甸 勹田
癜 疒尸󰁺八殳
店 广┝ 口
惦 忄广┝ 口
奠 丷酉大
淀 氵定
殿 尸󰁺八殳
阽 阝┝ 口
碉 石冂土口
叼 口𠃌
雕 冂土口隹
貂 豸刀口
鲷 鱼冂土口
凋 冫冂土口
刁 𠃌
屌 尸口巾
掉 扌┝ 日十
吊 口巾
铞 钅口巾
钓 钅勹丶
调 讠冂土口
跌 ⻊人
爹 八乂多
堞 土世木
垤 土至
耋 耂匕至
揲 扌世木
碟 石世木
蝶 虫世木
哋 口土也
喋 口世木
蹀 ⻊世木
牒 片世木
瓞 瓜人
鲽 鱼世木
谍 讠世木
迭 辶人
叠 又又又冖且
绖 纟至
丁丁
玎 王丁
耵 耳丁
酊 酉丁
叮 口丁
盯 目丁
仃 亻丁
钉 钅丁
疔 疒丁
顶 丁页
鼎 目
碇 石定
啶 口定
锭 钅定
腚 月定
订 讠丁
定 定
丢 ノ土厶
铥 钅ノ土厶
鸫 󰀂小鸟
东 󰀂小
咚 口夂
岽 山󰀂小
氡 气夂
冬 夂
董 艹千日二
懂 忄艹千日二
垌 土同
动 二厶力
栋 木󰀂小
硐 石同
峒 山同
侗 亻同
胨 月󰀂小
胴 月同
冻 冫󰀂小
恫 忄同
洞 氵同
都 者阝
蔸 艹󰁚白儿
篼 ⺮󰁚白儿
兜 󰁚白儿
抖 扌十
蚪 虫十
钭 钅十
斗 十
陡 阝走
豆 一口ㄥ
痘 疒一口ㄥ
逗 辶一口ㄥ
窦 穴十乛大
督 上小又目
嘟 口者阝
毒 母
椟 木十乛大
黩 󰀹土灬十乛大
髑 骨罒勹虫
犊 牜十乛大
牍 片十乛大
独 犭虫
读 讠十乛大
渎 氵十乛大
堵 土者
睹 目者
赌 贝者
笃 ⺮马
蠹 一中冖石虫虫
芏 艹土
杜 木土
镀 钅广廿又
肚 月土
度 广廿又
渡 氵广廿又
妒 女户
端 立山而
短 矢一口ㄥ
塅 土亻三殳
椴 木亻三殳
簖 ⺮󰄃米斤
段 亻三殳
锻 钅亻三殳
煅 火亻三殳
缎 纟亻三殳
断 󰄃米斤
堆 土隹
碓 石隹
镦 钅亠口子攵
憝 亠口子攵心
兑 丷口儿
怼 又寸心
对 又寸
队 阝人
墩 土亠口子攵
礅 石亠口子攵
吨 口七凵
蹲 ⻊丷酉寸
敦 亠口子攵
惇 忄亠口子
趸 一足
盹 目七凵
砘 石七凵
顿 七凵页
囤 囗七凵
钝 钅七凵
盾 ⺁十目
炖 火七凵
沌 氵七凵
遁 辶⺁十目
哆 口多
咄 口屮凵
多 夕夕
裰 衤又又又又
掇 扌又又又又
夺 大寸
踱 ⻊广廿又
铎 钅又
垛 土几木
哚 口几木
躲 身几木
朵 几木
缍 纟千艹二
跺 ⻊几木
舵 舟宀匕
剁 几木刂
惰 忄工月
沲 氵𠂉也
堕 阝月土
屙 尸阝丁口
莪 艹我
蛾 虫我
峨 山我
鹅 我鸟
俄 亻我
锇 钅我
讹 讠亻
额 宀夂口页
娥 女我
婀 女阝丁口
垩 一业土
恶 一业心
噩 王口口口口
扼 扌厂⺋
苊 艹厂⺋
萼 艹口口二ㄅ
厄 厂⺋
轭 车厂⺋
呃 口厂⺋
颚 口口二ㄅ页
鹗 口口二ㄅ鸟
鄂 口口二ㄅ阝
饿 饣我
锷 钅口口二ㄅ
腭 月口口二ㄅ
鳄 鱼口口二ㄅ
谔 讠口口二ㄅ
阏 门方人
愕 忄口口二ㄅ
遏 辶日匃
蒽 艹因心
恩 因心
摁 扌因心
鸸 而鸟
而 而
鲕 鱼而
儿 儿
珥 王耳
耳 耳
饵 饣耳
铒 钅耳
尔 ⺈小
洱 氵耳
迩 辶⺈小
二 二
贰 弋二贝
佴 亻耳
发 󰄃丿又丶
罚 罒讠刂
筏 ⺮亻戈
乏 ノ之
垡 亻戈土
伐 亻戈
阀 门亻戈
砝 石土厶
法 氵土厶
珐 王土厶
藩 艹氵釆田
幡 巾釆田
帆 巾凡
翻 釆田习习
番 釆田
旛 方𠂉釆田
