⺁	⺁丿丿
蟗	一口丨虫
蟘	虫亻󰀁貝
蟙	虫亠丷日
蟚	士口䒑虫
蟛	虫士口彡
蟜	虫丿大口
蟝	虫氵匚木
蟞	㡀攵虫󰁧
蟟	虫大丷小
蟠	虫丿米田
蟡	虫爫丿灬
蟢	虫士口口
蟣	虫幺幺人
蟤	虫巳巳八
蟥	虫󰁺由八
蟦	虫十艹貝
蟧	虫火火力
蟨	厂䒑凵虫
蟩	虫厂䒑人
蟪	虫一曰心
蟫	虫覀早󰀢
蟬	虫口口十
蟭	虫亻󰁷灬
蟮	虫羊䒑口
蟯	虫土土儿
蟰	虫󰁬十󰀲
蟱	虫𠂉一灬
蟲	虫虫虫󰁧
蟳	虫󰁬工寸
蟴	󰀎八斤虫
蟵	虫厂一寸
蟶	虫耳口王
蟷	虫⺌冖田
蟸	一󰀓虫虫
蟹	⺈用刀虫
蟺	虫亠囗一
蟻	虫丷王丶
蟼	艹勹口虫
蟽	虫土羊辶
蟾	虫⺈厂言
蟿	車凵几虫
蠀	虫冫⺈貝
蠁	󰁲丿丶虫
蠂	虫艹廿木
蠃	󰄹月虫丶
蠄	虫人亠厶
蠅	虫黽󰀝
蠆	艹曰冂虫
蠇	虫艹曰丶
蠈	貝戈虫
蠉	虫罒一󰀔
蠊	虫广䒑八
蠋	虫罒勹虫
蠌	虫罒土十
蠍	虫日勹人
蠎	虫艹大廾
蠏	虫⺈用󰀟
蠐	虫󰀴󰀳󰀝
蠑	虫火火木
蠒	一八冂虫
蠓	虫艹冖󰀓
蠔	虫󰁸冖󰀓
蠕	虫󰀙丆〢
蠖	虫艹亻又
蠗	虫羽亻󰁷
蠘	虫十戈󰁷
蠙	虫宀一貝
蠚	艹口虫
蠛	虫艹罒人
蠜	木乂乂虫
蠝	虫田田田
蠞	⺮󰁮卩虫
蠟	虫巛囗󰁒
蠠	丆囗〢虫
蠡	彑󰀓虫虫
蠢	三人日虫
蠣	虫厂艹丶
蠤	丷西一虫
蠥	凵丿丿虫
蠦	虫虍田皿
蠧	士冖石虫
蠨	虫艹󰁬󰀲
蠩	虫言土日
蠪	立月一虫
蠫	豸刂虫虫
蠬	虫立月三
蠭	夂三丨虫
蠮	虫匚𠂉羽
蠯	广白丿虫
蠰	虫亠口󰀔
蠱	虫虫虫皿
蠲	䒑八皿虫
蠳	虫貝貝女
蠴	虫艹罒日
蠵	虫山亻口
蠶	󰀄󰁜󰀄虫
蠷	虫目目󰁷
蠸	虫艹口󰁷
蠹	一口丨虫
蠺	一大一虫
蠻	言糹糹虫
蠼	虫目目又
蠽	小亻󰁷虫
蠾	虫尸氺虫
蠿	󰁃幺幺虫
血	丿皿󰀌
衁	亠󰄃丿皿
衂	丿皿刀丶
衃	丿皿丆卜
衄	丿皿󰁈一
衅	丿皿丷󰀟
衆	丿皿乑󰁧
衇	丿皿⺁󰀕
衈	丿皿耳󰀝
衉	丿皿夂口
衊	丿皿艹人
衋	󰁬󰀟丆皿
行	彳一丁󰀢
衍	彳氵一丁
衎	彳干一丁
衏	彳二儿丁
衐	彳匚󰁃丁
衑	彳人丶丁
衒	彳亠幺丁
術	彳木丶丁
衔	彳钅一丁
衕	彳冂一丁
衖	彳󰁺八丁
街	彳土土丁
衘	彳𠂉一丁
衙	彳五口丁
衚	彳古月丁
衛	彳󰁆口丁
衜	彳䒑丿丁
衝	彳丿一丁
衞	彳󰁆口丁
衟	彳巛丆丁
衠	彳十󰀣丁
衡	彳󰁢大丁
衢	彳目目丁
衣	亠󰀔󰁧
衤	衤󰁧丶丶
补	衤󰁧卜󰁶
衦	衤󰁧干󰀢
衧	衤󰁧一󰀛
表	󰀔󰁧
衩	衤󰁧又丶
衪	衤󰁧也󰁀
衫	衤󰁧彡󰁥
衬	衤󰁧寸󰁶
衭	衤󰁧夫󰁶
衮	六厶󰀔󰁧
衯	衤󰁧八刀
衰	亠口一󰀔
衱	衤󰁧乃󰂃
衲	衤󰁧冂人
衳	衤󰁧八厶
衴	衤󰁧冖󰁜
衵	衤󰁧日󰀝
衶	衤󰁧口丨
衷	亠口丨󰀔
衸	衤󰁧人󰀯
衹	衤󰁧󰁚󰀁
衺	亠󰀄亅󰀔
衻	衤󰁧冂二
衼	衤󰁧十又
衽	衤󰁧丿士
衾	人丶乛󰀔
衿	衤󰁧人乛
袀	衤󰁧勹冫
袁	土口󰀔󰁧
袂	衤󰁧ユ人
袃	七刀亠󰀔
袄	衤󰁧丿大
袅	󰁠亠󰀔󰁧
袆	衤󰁧二丨
袇	衤󰁧󰀼亠
袈	力口亠󰀔
袉	衤󰁧宀匕
袊	衤󰁧人󰁻
袋	亻󰀁丶󰀔
袌	亠勹巳󰀔
袍	衤󰁧勹巳
袎	衤󰁧幺力
袏	衤󰁧工
袐	衤󰁧心丿
袑	衤󰁧刀口
袒	衤󰁧曰一
袓	衤󰁧󰀐一
袔	衤󰁧丁口
袕	衤󰁧宀八
袖	衤󰁧由󰀝
袗	衤󰁧人彡
袘	衤󰁧𠂉也
袙	衤󰁧白󰀝
袚	衤󰁧丶
袛	衤󰁧󰁚丶
袜	衤󰁧一木
袝	衤󰁧亻寸
袞	六口󰀔󰁧
袟	衤󰁧丿夫
袠	亠丿夫󰀔
袡	衤󰁧冂土
袢	衤󰁧丷󰀟
袣	衤󰁧廿󰄃
袤	亠󰁻乛󰀔
袥	衤󰁧石󰀝
袦	衤󰁧凵山
袧	衤󰁧勹口
袨	衤󰁧亠幺
袩	衤󰁧󰀥口
袪	衤󰁧土厶
被	衤󰁧皮󰁶
袬	亠厶口󰀔
袭	ヒ丶󰀔
袮	衤󰁧𠂉小
袯	衤󰁧ㄥ丶
袰	母亠󰀔󰁧
袱	衤󰁧亻犬
袲	亠夕夕󰀔
袳	衤󰁧夕夕
袴	衤󰁧大ㄅ
袵	衤󰁧亻士
袶	衤󰁧夂㐄
袷	衤󰁧人口
袸	衤󰁧子
袹	衤󰁧丆日
袺	衤󰁧士口
袻	衤󰁧丆〢
袼	衤󰁧夂口
袽	衤󰁧女口
袾	衤󰁧丿未
袿	衤󰁧土土
裀	衤󰁧囗大
裁	十戈亠󰀔
裂	一夕刂󰀔
裃	衤󰁧上卜
裄	衤󰁧彳丁
装	丬士亠󰀔
裆	衤󰁧⺌彐
裇	衤󰁧丿皿
裈	衤󰁧冖车
裉	衤󰁧艮󰁶
裊	󰁟亠󰀔󰁧
裋	衤󰁧一䒑
裌	衤󰁧大人
裍	衤󰁧囗木
裎	衤󰁧口王
裏	亠曰土󰀔
裐	衤󰁧口月
裑	衤󰁧丿丿
裒	亠臼󰀔󰁧
裓	衤󰁧戈廾
裔	亠󰀔冂口
裕	衤󰁧八口
裖	衤󰁧厂󰀖
裗	衤󰁧亠󰀸
裘	一氺丶󰀔
裙	衤󰁧󰁬口
裚	扌斤亠󰀔
裛	󰁸巴󰀔󰁧
補	衤󰁧甫󰁶
裝	爿士亠󰀔
裞	衤󰁧丷儿
裟	氵小丿󰀔
裠	󰁬丿口󰀔
裡	衤󰁧曰土
裢	衤󰁧车辶
裣	衤󰁧人一
裤	衤󰁧广车
裥	衤󰁧门日
裦	亠亻二󰀔
裧	衤󰁧火火
裨	衤󰁧白十
裩	衤󰁧曰󰁴
裪	衤󰁧勹凵
裫	衤󰁧󰀲一
裬	衤󰁧土夂
裭	衤󰁧虍几
裮	衤󰁧日曰
裯	衤󰁧󰀼口
裰	衤󰁧又又
裱	衤󰁧󰀔
裲	衤󰁧一丶
裳	⺌冖口󰀔
裴	丨三丨󰀔
裵	亠丨三󰀔
裶	衤󰁧丨三
裷	衤󰁧丷⺋
裸	衤󰁧曰木
裹	亠曰木󰀔
裺	衤󰁧大乚
裻	上小又󰀔
裼	衤󰁧曰󰁤
製	𠂉一冂󰀔
裾	衤󰁧尸古
裿	衤󰁧大口
褀	衤󰁧󰀎八
褁	曰木󰀔󰁧
褂	衤󰁧土卜
褃	衤󰁧止月
褄	衤󰁧一󰁬
褅	衤󰁧亠丨
褆	衤󰁧日󰁾
複	衤󰁧𠂉夂
褈	衤󰁧丿土
褉	衤󰁧三大
褊	衤󰁧丶艹
褋	衤󰁧廿木
褌	衤󰁧冖車
褍	衤󰁧山〢
褎	亠亻二󰀔
褏	亠亻二󰀔
褐	衤󰁧曰󰄃
褑	衤󰁧爫又
褒	亠亻口󰀔
褓	衤󰁧亻木
褔	衤󰁧一田
褕	衤󰁧人刂
褖	衤󰁧彑󰀓
褗	衤󰁧匚女
褘	衤󰁧󰁆㐄
褙	衤󰁧丬月
褚	衤󰁧土日
褛	衤󰁧米女
褜	月勹巳󰀔
褝	衤󰁧󰀧十
褞	衤󰁧曰皿
褟	衤󰁧曰羽
褠	衤󰁧󰀀土
褡	衤󰁧艹口
褢	亠白󰁜󰀔
褣	衤󰁧宀口
褤	衤󰁧土󰀔
褥	衤󰁧厂寸
褦	衤󰁧厶匕
褧	耳火亠󰀔
褨	衤󰁧⺶工
褩	丿󰁪几󰀔
褪	衤󰁧艮辶
褫	衤󰁧⺁几
褬	衤󰁧又木
褭	亠󰀋灬󰀔
褮	火火冖󰀔
褯	衤󰁧广丨
褰	宀󰀀八󰀔
褱	亠罒氺󰀔
褲	衤󰁧广車
褳	衤󰁧車辶
褴	衤󰁧〢皿
褵	衤󰁧亠厶
褶	衤󰁧羽白
褷	衤󰁧彳󰁾
褸	衤󰁧󰀻女
褹	衤󰁧土丶
褺	土䒑十󰀔
褻	亠土八󰀔
褼	衤󰁧覀巳
褽	尸二小󰀔
褾	衤󰁧覀小
褿	衤󰁧一日
襀	衤󰁧貝
襁	衤󰁧弓虫
襂	衤󰁧厶彡
襃	亠亻二󰀔
襄	亠口口󰀔
襅	衤󰁧曰󰀟
襆	衤󰁧业夫
襇	衤󰁧門日
襈	衤󰁧巳八
襉	衤󰁧門月
襊	衤󰁧曰又
襋	衤󰁧木冂
襌	衤󰁧口十
襍	衤󰁧亻木
襎	衤󰁧丿田
襏	衤󰁧癶又
襐	衤󰁧⺈󰀓
襑	衤󰁧彐寸
襒	衤󰁧㡀攵
襓	衤󰁧土儿
襔	衤󰁧廿丶
襕	衤󰁧门󰀹
襖	衤󰁧丿大
襗	衤󰁧罒十
襘	衤󰁧人日
襙	衤󰁧口木
襚	衤󰁧䒑辶
襛	衤󰁧ㄇ󰀖
襜	衤󰁧⺈言
襝	衤󰁧人人
襞	尸口辛󰀔
襟	衤󰁧木小
襠	衤󰁧⺌田
襡	衤󰁧罒虫
襢	衤󰁧亠一
襣	衤󰁧丿󰀯
襤	衤󰁧匚皿
襥	衤󰁧亻夫
襦	衤󰁧󰀙〢
襧	衤󰁧一乂
襨	衤󰁧业寸
襩	衤󰁧士貝
襪	衤󰁧艹人
襫	衤󰁧大日
襬	衤󰁧罒匕
襭	衤󰁧士貝
襮	衤󰁧曰氺
襯	衤󰁧立儿
襰	衤󰁧木貝
襱	衤󰁧立三
襲	立月一󰀔
襳	衤󰁧人󰀞
襴	衤󰁧門󰀹
襵	衤󰁧耳耳
襶	衤󰁧十八
襷	衤󰁧󰀗手
襸	衤󰁧丿貝
襹	衤󰁧一匕
襺	衤󰁧艹虫
襻	衤󰁧木手
襼	衤󰁧艹厶
襽	衤󰁧艹󰀹
襾	一ㄇ凵󰀵
西	西一丨一
覀	覀一丨一
要	覀女󰀘
覂	覀丿之󰁧
覃	覀早󰀬
覄	覀亻犬󰁧
覅	覀女勹󰁤
覆	覀彳𠂉夂
覇	覀廿󰀜月
覈	覀白方攵
覉	覀廿󰀜口
覊	覀廿󰀜灬
見	目儿󰀅
覌	又目儿󰁀
覍	小目儿󰀅
覎	目儿子󰀌
規	夫目儿󰁀
覐	目儿乂乂
覑	丿丨一儿
覒	毛目儿󰁀
覓	爫目儿󰀅
覔	丆卜目儿
覕	心丿目儿
視	礻󰁶目儿
覗	𠃌一口儿
覘	󰀥口目儿
覙	⺈小目儿
覚	󰀧冖目儿
覛	⺁󰀕目儿
覜	儿󰀪目儿
覝	干火目儿
覞	目儿目儿
覟	士心目儿
覠	󰁬丿口儿
覡	工人人儿
覢	火火目儿
覣	禾女目儿
覤	虍几目儿
覥	ㄇ󰁺八儿
覦	人一月儿
覧	匚丨󰁃儿
覨	口口二儿
覩	土丿日儿
親	立朩目儿
覫	亠丷冖儿
覬	山一口儿
覭	冖曰六儿
覮	火火冖儿
覯	󰀀冂土儿
覰	虍󰀐󰀞儿
覱	車斤目儿
覲	廿口儿
観	𠂉一亻儿
覴	癶一口儿
覵	門月目儿
覶	爫󰁻冂儿
覷	虍业目儿
覸	門日目儿
覹	目儿彳攵
覺	󰀗乂乂儿
覻	虍一口儿
覼	一八冂儿
覽	匚丨󰁃儿
覾	宀丿米儿
覿	士罒貝儿
觀	艹口口儿
见	ㄇ󰁜󰀅
观	又ㄇ󰁜󰁀
觃	冂󰁜子󰀌
规	夫ㄇ󰁜󰁀
觅	爫ㄇ󰁜󰀅
视	礻󰁶ㄇ󰁜
觇	󰀥口ㄇ󰁜
览	〢𠂉丶󰁜
觉	󰀧冖ㄇ󰁜
觊	山󰁁ㄇ󰁜
觋	工人人󰁜
觌	十乛󰁦󰁜
觍	ㄇ󰁺八󰁜
觎	人一月儿
觏	󰀀ㄇ土󰁜
觐	廿口󰁜
觑	虍业ㄇ󰁜
角	⺈用󰀬
觓	⺈用󰁐丨
觔	⺈用力󰁥
觕	牜⺈用󰀢
觖	⺈用ユ人
觗	⺈用󰁚󰀁
觘	⺈用小丿
觙	⺈用乃󰂃
觚	⺈用⺁󰂃
觛	⺈用日一
觜	止匕⺈用
觝	⺈用󰁚丶
觞	⺈用𠂉󰁤
觟	⺈用土土
觠	丷夫⺈用
觡	⺈用夂口
觢	三丨刀用
解	⺈用刀󰀟
觤	⺈用⺈⺋
觥	⺈用⺌儿
触	⺈用虫󰁶
觧	⺈用羊󰀢
觨	⺈用工水
觩	⺈用一丶
觪	⺈用辛󰀢
觫	⺈用木口
觬	⺈用臼儿
觭	⺈用大口
觮	⺈用󰁭氺
觯	⺈用丷十
觰	⺈用土日
觱	戊一口用
觲	⺈用丷󰀟
觳	士冖一又
觴	⺈用𠂉󰁤
觵	⺈用󰁺八
觶	⺈用口十
觷	󰀗乂乂用
觸	⺈用罒虫
觹	⺈用亻𠃌
觺	匕𠂉大用
觻	⺈用白木
觼	⺈用⺈夂
觽	⺈用山𠃌
觾	⺈用廿灬
觿	⺈用山口
言	言言言言
訁	言丶一一
訂	言丁󰀢
訃	言卜󰁶
訄	九言󰀌
訅	言九󰁀
訆	言󰁐丨󰀢
訇	勹言󰀌
計	言十󰀢
訉	言几丶󰁶
訊	言⺄十󰀢
訋	言勹丶󰁶
訌	言工󰀝
訍	言又丶󰁶
討	言寸󰁶
訏	言一󰀛󰀢
訐	言干󰀢
訑	言也󰁀
訒	言刀丶󰁶
訓	言川󰀢
訔	山言󰀘
訕	言山󰀢
訖	言𠂉乙󰁀
託	言丿七󰁀
記	言己󰁀
訙	言九丶󰁶
訚	门言󰀌
訛	言亻ヒ󰁀
訜	言八刀󰁥
訝	言󰀄亅丿
訞	言丿大󰁶
訟	言八厶󰁶
訠	言弓丨󰀢
訡	言人丶乛
訢	言斤󰀢
訣	言ユ人󰁶
訤	言乂乂󰁶
訥	言冂人󰁶
訦	言冖󰁜󰁀
訧	言乚丶
訨	言止󰀝
訩	言乂凵󰀢
訪	言方󰁥
訫	言心󰁶
訬	言小丿󰁥
設	言几又󰁶
訮	言一廾󰀢
訯	言乃󰂃󰁶
訰	言一凵乚
許	言𠂉十󰀢
訲	言口丨󰀢
訳	言尸󰂃󰁶
訴	言斤丶󰁶
訵	言四󰀝
訶	言丁口󰀝
訷	言曰丨󰀢
訸	言禾󰁶
訹	言木丶󰁶
診	言人彡󰁥
註	言丶王󰀝
証	言一止󰀝
訽	言勹口󰀝
訾	止匕言󰀘
訿	言止匕󰁀
詀	言󰀥口󰀝
詁	言古󰀝
詂	言亻寸󰁶
詃	言亠幺󰁶
詄	言丿夫󰁶
詅	言人丶󰁻
詆	言󰁚󰀁丶
詇	言ㄇ大󰁶
詈	罒言󰀘
詉	言女又󰁶
詊	言丷󰀟󰀢
詋	言口儿󰁀
詌	言甘󰀝
詍	言廿󰄃󰁀
詎	言匚󰁃󰀝
詏	言幺力󰁥
詐	言𠂉丨二
詑	言宀匕󰁀
詒	言厶口󰀝
詓	言土厶󰁶
詔	言刀口󰀝
評	言一丷十
詖	言皮󰁶
詗	言冂口󰀝
詘	言凵山󰀢
詙	言又丶
詚	言日一󰀝
詛	言󰀐一󰀝
詜	言凵丨又
詝	言宀丁󰀢
詞	言𠃌一口
詟	ヒ丶言
詠	言丶𠃌󰀩
詡	言羽󰀝
詢	言勹日󰀝
詣	言匕日󰀝
詤	言人󰄃󰀸
詥	言人一口
試	言󰀁工丶
詧	󰁯言󰀘
詨	言六乂󰁶
詩	言土寸󰁶
詪	言艮󰁶
詫	言宀丿七
詬	言⺁一口
詭	言⺈厂⺋
詮	言人王󰀝
詯	言丿目󰀝
詰	言士口󰀝
話	言丿古󰀝
該	言亠ㄥ人
詳	言羊󰀢
詴	言月󰀝
詵	言丿土儿
詶	言丶丿丨
詷	言冂一口
詸	言米󰁶
詹	⺈厂八言
詺	言夕口󰀝
詻	言夂口󰀝
詼	言火󰁶
詽	言一干
詾	言勹乂凵
詿	言土土󰀝
誀	言耳󰀝
誁	言䒑廾󰀢
誂	言儿󰀪󰁶
誃	言夕夕󰁶
誄	言二木󰁶
誅	言丿未󰁶
誆	言匚王󰀝
誇	言大二ㄅ
誈	言一厶土
誉	󰀧一八言
誊	丷夫言󰀘
誋	言己心󰁶
誌	言士心󰁶
認	言刀丶心
誎	言木口󰀝
誏	言丶艮󰁶
誐	言丿扌丶
誑	言犭󰁥王
誒	言厶𠂉大
誓	扌斤言󰀘
誔	言丿士廴
誕	言丿󰀥廴
誖	言十冖子
誗	言禾刂󰀢
誘	言禾乃󰁥
誙	言一巛工
誚	言⺌月󰀝
誛	言彐冖又
誜	言厶八夂
誝	言人丶口
語	言五口󰀝
誟	言土丿子
誠	言戊𠃌󰁀
誡	言戈廾󰀢
誢	言目儿󰁀
誣	言工人人
誤	言口一大
誥	言丿土口
誦	言󰁻用󰀢
誧	言甫󰁶
誨	言𠂉母󰁶
誩	言言󰀝
說	言八口儿
誫	言厂二󰀖
説	言丷口儿
読	言士冖儿
誮	言艹亻ヒ
誯	言日曰󰀝
誰	言亻󰁷󰀝
誱	言一󰁬󰁾
課	言曰木󰁶
誳	言尸凵山
誴	言宀二小
誵	言乂月
誶	言亠人十
誷	言冂䒑󰄃
誸	言弓亠幺
誹	言丨三三
誺	言木人人
誻	言水日󰀝
誼	言宀󰀐一
誽	言臼儿󰁀
誾	門言󰀌
調	言󰀼土口
諀	言白丿十
諁	言又又又
諂	言⺈臼󰀝
諃	言木木󰁶
諄	言󰁸子󰀝
諅	󰀎八言󰀘
諆	言󰀎八󰁶
談	言火火󰁶
諈	言ノ一士
諉	言禾女󰀝
諊	言勹米󰁶
請	言月󰀝
諌	言木曰󰀝
諍	言⺈󰁬亅
諎	言󰁺日󰀝
諏	言耳又󰁶
諐	亻口󰀸言
諑	言一󰀓丶
諒	言󰁸小󰁶
諓	言戈戈󰁶
諔	言上小又
諕	言虍几󰁀
論	言人一艹
諗	言人丶心
諘	言󰀔󰁶
諙	言󰁚󰀁日
諚	言宀一󰁾
諛	言臼人󰁶
諜	言廿󰄃木
諝	言乛󰁾月
諞	言丶尸艹
諟	言日一󰁾
諠	言宀一一
諡	言八一皿
諢	言冖車󰀢
諣	言ㄇ󰁈口
諤	言口口ㄅ
諥	言丿一土
諦	言亠丷丨
諧	言󰁴匕白
諨	言一口田
諩	言䒑业󰀝
諪	言󰁸冖丁
諫	言木󰀹󰀝
諬	禾乚丶
諭	言人一刂
諮	言冫⺈口
諯	言山丆〢
諰	言田心󰁶
諱	言󰁆口㐄
諲	言覀土󰀝
諳	言立日󰀝
諴	言戊一口
諵	言十冂十
諶	言󰀎八󰄃
諷	言几丿虫
諸	言土丿日
諹	言曰一󰁤
諺	言立丿彡
諻	言白王󰀝
諼	言爫一又
諽	言廿󰀜󰀢
諾	言艹口
諿	言口耳󰀝
謀	言甘木󰁶
謁	言曰勹󰄃
謂	言田月󰀝
謃	言曰丿
謄	月丷夫言
謅	言勹凵丿
謆	言丶尸羽
謇	宀󰀀八言
謈	曰󰁺八言
謉	言白󰁜厶
謊	言艹亠󰀸
謋	言夕㐄木
謌	言丁口口
謍	火火冖言
謎	言米辶󰁶
謏	言臼丨又
謐	言心丿皿
謑	言爫幺大
謒	言人丶口
謓	言十󰀣八
謔	言虍匚一
謕	言⺁虍几
謖	言田八夂
謗	言亠丷方
謘	言尸辛󰀢
謙	言䒑󰁬八
謚	言䒑八皿
講	言󰀀冂土
謜	言厂白小
謝	言丿󰀽寸
謞	言󰁸冂口
謟	言爫臼󰀝
謠	言󰁝𠂉凵
謡	言爫𠂉凵
謢	言亻󰁷又
謣	言󰀙二ㄅ
謤	言覀二小
謥	言丿囗心
謦	士󰁅几言
謧	言亠乂厶
謨	言艹曰大
謩	艹曰大言
謪	言亠丷口
謫	言亠丷古
謬	言羽人彡
謭	言䒑月刀
謮	言貝󰁶
謯	言虍󰀐一
謰	言車辶󰁶
謱	言󰀻女󰀝
謲	言厶厶彡
謳	言匚口口
謴	言毌貝󰁶
謵	言羽白󰀝
謶	言广廿灬
謷	󰁡攵言
謸	言󰁡攵
謹	言廿口
謺	土䒑十言
謻	言禾夕夕
謼	言虍丿󰀛
謽	弓口虫言
謾	言曰罒又
謿	言十早月
譀	言乛耳攵
譁	言艹一󰀟
譂	言口口十
譃	言虍业󰀝
譄	言丷󰀺日
譅	言刀丶止
譆	言士口口
譇	言大土日
譈	言󰁸孑攵
證	言癶一䒑
譊	言土土儿
譋	言門月󰀝
譌	言爫丿灬
譍	广亻亻󰁷
譎	言󰁻乛口
譏	言幺幺人
譐	言丷西寸
譑	言丿大口
譒	言丿米田
譓	言一曰心
譔	言巳巳八
譕	言𠂉一灬
譖	言󰀄󰁜日
譗	言⺮人口
識	言亠丷日
譙	言亻󰁷灬
譚	言覀早󰀢
譛	言夫夫日
譜	言䒑业日
譝	言黽󰀝
譞	言罒一󰀔
譟	言口口木
譠	言亠囗一
譡	言⺌冖田
譢	言䒑󰀓辶
譣	言人一人
譤	言白方攵
譥	白方攵言
警	艹勹口言
譧	言广䒑八
譨	言ㄇ󰁺󰀖
譩	言立曰心
譪	言艹曰󰄃
譫	言⺈厂言
譬	尸口辛言
譭	言臼工又
譮	言人一日
譯	言罒土十
議	言丷王丶
譱	羊言言󰀌
譲	言六󰀀󰀔
譳	言󰀙丆〢
譴	言口丨辶
譵	言业丷寸
譶	言言言󰀘
護	言艹亻又
譸	言士乛寸
譹	言󰁸冖󰀓
譺	言匕𠂉󰁾
譻	貝貝言󰀘
譼	匚丨󰁃言
譽	󰀗一󰁕言
譾	言䒑月羽
譿	言三丨心
讀	言士罒貝
讁	言亠丷辶
讂	言⺈ㄇ夂
讃	言夫夫貝
讄	言田田田
讅	言宀丿田
讆	彳󰁆口言
讇	言門⺈臼
讈	言厂禾止
讉	言口丨辶
變	言糹糹攵
讋	立月一言
讌	言廿口灬
讍	言王口口
讎	亻󰁷言󰁷
讏	彳󰁆口言
讐	亻󰁷亻󰁷
讑	言人一艹
讒	言⺈口丶
讓	言亠口󰀔
讔	言阝爫心
讕	言門木󰀹
讖	言人人󰀞
讗	言山亻口
讘	言耳耳耳
讙	言艹口󰁷
讚	言丿土貝
讛	言艹土厶
讜	言⺌冖灬
讝	言口口攵
讞	言虍一犬
讟	言士罒言
讠	讠丶󰁉
计	讠十󰀢
订	讠丁󰀢
讣	讠卜󰁶
认	讠人󰁶
讥	讠几󰁀
讦	讠干󰀢
讧	讠工󰀝
讨	讠寸󰁶
让	讠上󰀝
讪	讠山󰀢
讫	讠𠂉乙󰁀
讬	讠丿七󰁀
训	讠川󰀢
议	讠丶乂󰁶
讯	讠⺄十󰀢
记	讠己󰁀
讱	讠刀丶󰁶
讲	讠二󰀯󰀢
讳	讠二𠃌丨
讴	讠匚乂󰁶
讵	讠匚󰁃󰀝
讶	讠󰀄亅丿
讷	讠冂人󰁶
许	讠𠂉十󰀢
讹	讠亻ヒ󰁀
论	讠人匕󰁀
讻	讠乂凵󰀢
讼	讠八厶󰁶
讽	讠几乂󰁶
设	讠几又󰁶
访	讠方󰁥
诀	讠ユ人󰁶
证	讠一止󰀝
诂	讠古󰀝
诃	讠丁口󰀝
评	讠一丷十
诅	讠󰀐一󰀝
识	讠口八󰁶
诇	讠冂口󰀝
诈	讠𠂉丨二
诉	讠斤丶󰁶
诊	讠人彡󰁥
诋	讠󰁚󰀁丶
诌	讠⺈彐󰀝
词	讠𠃌一口
诎	讠凵山󰀢
诏	讠刀口󰀝
诐	讠皮󰁶
译	讠又󰀟󰀢
诒	讠厶口󰀝
诓	讠匚王󰀝
诔	讠二木󰁶
试	讠󰀁工丶
诖	讠土土󰀝
诗	讠土寸󰁶
诘	讠士口󰀝
诙	讠火󰁶
诚	讠戊𠃌󰁀
诛	讠丿未󰁶
诜	讠丿土儿
话	讠丿古󰀝
诞	讠丿󰀥廴
诟	讠⺁一口
诠	讠人王󰀝
诡	讠⺈厂⺋
询	讠勹日󰀝
诣	讠匕日󰀝
诤	讠⺈󰁬亅
该	讠亠ㄥ人
详	讠羊󰀢
诧	讠宀丿七
诨	讠冖车󰀢
诩	讠羽󰀝
诪	讠三丿寸
诫	讠戈廾󰀢
诬	讠工人人
语	讠五口󰀝
诮	讠⺌月󰀝
误	讠口一大
诰	讠丿土口
诱	讠禾乃󰁥
诲	讠𠂉母󰁶
诳	讠犭󰁥王
说	讠丷口儿
诵	讠󰁻用󰀢
诶	讠厶𠂉大
请	讠月󰀝
诸	讠土丿日
诹	讠耳又󰁶
诺	讠艹口
读	讠十乛大
诼	讠一󰀓丶
诽	讠丨三三
课	讠曰木󰁶
诿	讠禾女󰀝
谀	讠臼人󰁶
谁	讠亻󰁷󰀝
谂	讠人丶心
调	讠󰀼土口
谄	讠⺈臼󰀝
谅	讠󰁸小󰁶
谆	讠󰁸子󰀝
谇	讠亠人十
谈	讠火火󰁶
谉	讠宀曰丨
谊	讠宀󰀐一
谋	讠甘木󰁶
谌	讠󰀎八󰄃
谍	讠廿󰄃木
谎	讠艹亠󰀸
谏	讠木󰀹󰀝
谐	讠󰁴匕白
谑	讠虍匚一
谒	讠曰勹󰄃
谓	讠田月󰀝
谔	讠口口ㄅ
谕	讠人一刂
谖	讠爫一又
谗	讠⺈口󰁦
谘	讠冫⺈口
谙	讠立曰󰀝
谚	讠立丿彡
谛	讠亠丷丨
谜	讠米辶󰁶
谝	讠丶尸艹
谞	讠乛󰁾月
谟	讠艹曰大
谠	讠⺌冖儿
谡	讠田八夂
谢	讠丿󰀽寸
谣	讠爫𠂉凵
谤	讠亠丷方
谥	讠䒑八皿
谦	讠䒑󰁬八
谧	讠心丿皿
谨	讠廿口
谩	讠曰罒又
谪	讠亠丷古
谫	讠䒑月刀
谬	讠羽人彡
谭	讠覀早󰀢
谮	讠󰀄󰁜曰
谯	讠亻󰁷灬
谰	讠门木󰀹
谱	讠䒑业日
谲	讠󰁻乛口
谳	讠十冂犬
谴	讠口丨辶
谵	讠⺈厂言
谶	讠人人󰀞
谷	八人口󰀘
谸	丿八口
谹	八人口厶
谺	八人口丿
谻	八人口󰀠
谼	八人口八
谽	八人口口
谾	八人口工
谿	爫幺大口
豀	八人口大
豁	宀三丨口
豂	八人口彡
豃	八人口攵
豄	八人口貝
豅	八人口三
豆	一口䒑󰀘
豇	一口䒑工
豈	山一口䒑
豉	一口䒑又
豊	ㄇ󰁺一䒑
豋	󰁯一口䒑
