⺁	⺁丿丿
㝟	宀一目儿
㝠	宀日六󰁧
㝡	宀耳又󰁧
㝢	宀丿口丶
㝣	宀三丨大
㝤	宀󰀀冂土
㝥	宀爿米󰁧
㝦	宀亻󰁷乃
㝧	宀女人土
㝨	宀土口󰀔
㝩	宀广󰁬氺
㝪	宀土䒑丶
㝫	宀阝夂
㝬	宀三丨夫
㝭	宀忄日
㝮	宀凵山又
㝯	宀丿大口
㝰	宀丿目方
㝱	宀爿艹夕
㝲	宀爿艹丨
㝳	一⺗󰀦
㝴	二儿寸󰀦
㝵	日一寸󰁧
㝶	罒儿寸󰁧
㝷	彐工九寸
㝸	小白儿󰀅
㝹	小丿⺈丶
㝺	䒑󰁬〢丿
㝻	廿口丿
㝼	乚一󰀛
㝽	乚水󰀦
㝾	乚工
㝿	乚皮󰀦
㞀	乚火
㞁	乚日匕
㞂	乚爫女
㞃	八人口丶
㞄	乚大乚
㞅	乚日木
㞆	乚大口
㞇	乚田󰀖
㞈	乚丶艹
㞉	乚⺶工
㞊	凵山二乚
㞋	尸又󰀦
㞌	尸子󰀌
㞍	尸九丶󰀦
㞎	尸巴󰁫
㞏	尸丿之󰀦
㞐	尸立󰀌
㞑	尸二二乚
㞒	尸丿目󰀌
㞓	尸匕日󰀌
㞔	尸夕夕󰀦
㞕	尸八月󰀌
㞖	尸木冂󰁫
㞗	尸一氺丶
㞘	尸一󰀓丶
㞙	尸毛水󰀦
㞚	尸丿十臼
㞛	尸彳匕日
㞜	尸彳禾女
㞝	戊上小尸
㞞	尸彳人󰁾
㞟	尸丷西大
㞠	尸大丷小
㞡	尸工工󰀔
㞢	凵丨一󰀌
㞣	凵丨八刀
㞤	山人󰁧
㞥	山丿󰂃󰁧
㞦	山几󰁀
㞧	山乃󰁣
㞨	山子󰀝
㞩	山几丶󰁧
㞪	󰁭山󰀬
㞫	山之󰁧
㞬	山工󰀘
㞭	大山󰀬
㞮	山⺈丶󰁧
㞯	己山󰀬
㞰	山𠂉十󰀢
㞱	山日󰀘
㞲	山口丨󰀢
㞳	山󰁦十󰀢
㞴	山󰁚󰀁󰁀
㞵	山文󰁧
㞶	山文󰁶
㞷	凵丨王󰀘
㞸	山丆卜󰁧
㞹	山丁口󰀝
㞺	山𠂉大󰁧
㞻	山口一ㄅ
㞼	了󰀩山󰀬
㞽	山戈󰁐󰁀
㞾	山尸匕󰁀
㞿	山土乂󰁧
㟀	禾山󰀬
㟁	山厂干󰀢
㟂	山母󰁶
㟃	山𠃌一口
㟄	山羊󰀢
㟅	山乂凵儿
㟆	山亻ヒ十
㟇	山人人土
㟈	山一氺丶
㟉	山宀丿󰀟
㟊	山爫子󰀝
㟋	山丷口儿
㟌	山乚丶
㟍	山丶艮󰁶
㟎	山爫女󰀝
㟏	山人丶口
㟐	山艹亠󰄃
㟑	山十冖子
㟒	山󰁬丿口
㟓	山乂丨
㟔	山人丶口
㟕	山口󰁦十
㟖	山王廾󰀬
㟗	山八刀刀
㟘	山󰀼土口
㟙	山󰁺日󰀝
㟚	木十又山
㟛	山扌甘󰀘
㟜	山弓⺈小
㟝	山立口󰀝
㟞	山戈戈󰁶
㟟	山󰁺八⺋
㟠	山冂䒑山
㟡	山丷夫⺋
㟢	山大丁口
㟣	山木八厶
㟤	山󰁭氺󰁧
㟥	山厶大彡
㟦	山冖車󰀬
